,unique_id,time,DAP,TimeGPT,TimeGPT-hi-90,TimeGPT-lo-90
183,0,2023-01-08 15:00:00,19.0857,29.484852,110.13066,-51.160957
184,0,2023-01-08 16:00:00,20.3543,33.2571,135.8298,-69.31561
185,0,2023-01-08 17:00:00,65.0876,36.942276,111.96058,-38.07603
186,0,2023-01-08 18:00:00,36.8115,36.321297,93.641655,-20.99906
187,0,2023-01-08 19:00:00,26.0436,23.864872,117.05862,-69.32888
188,0,2023-01-08 20:00:00,21.5688,21.613178,57.230785,-14.004428
189,0,2023-01-08 21:00:00,21.4857,19.695324,38.579597,0.81104976
190,0,2023-01-08 22:00:00,21.0339,17.081299,40.51276,-6.350161
191,0,2023-01-08 23:00:00,20.5162,11.096207,32.1455,-9.953089
192,0,2023-01-09 00:00:00,15.1489,16.369663,30.28923,2.4500954
193,0,2023-01-09 01:00:00,14.0559,13.88419,33.135418,-5.36704
194,0,2023-01-09 02:00:00,15.6241,13.6709175,34.099327,-6.757494
195,0,2023-01-09 03:00:00,16.8864,20.582565,44.51348,-3.348349
196,0,2023-01-09 04:00:00,18.3567,20.881462,43.431873,-1.66895
197,0,2023-01-09 05:00:00,20.9056,20.42377,42.36889,-1.5213487
198,0,2023-01-09 06:00:00,25.3965,24.027607,55.178402,-7.12319
199,0,2023-01-09 07:00:00,27.398,27.076511,58.570484,-4.4174623
200,0,2023-01-09 08:00:00,22.3371,24.336586,47.170593,1.50258
201,0,2023-01-09 09:00:00,19.1388,21.945591,43.513824,0.37735862
202,0,2023-01-09 10:00:00,18.896,18.355549,37.040207,-0.32911015
203,0,2023-01-09 11:00:00,18.9724,21.339375,41.18451,1.4942417
204,0,2023-01-09 12:00:00,19.348,23.640743,47.16836,0.11312332
205,0,2023-01-09 13:00:00,19.6043,20.468105,71.18595,-30.249737
206,0,2023-01-09 14:00:00,19.9982,17.849854,93.43726,-57.737556
207,0,2023-01-09 15:00:00,20.6808,22.186954,126.48677,-82.11287
208,0,2023-01-09 16:00:00,23.8127,33.081146,147.88414,-81.72185
209,0,2023-01-09 17:00:00,68.4904,42.48596,136.62297,-51.651062
210,0,2023-01-09 18:00:00,45.4954,39.636566,111.88082,-32.60769
211,0,2023-01-09 19:00:00,31.1213,38.747215,94.89655,-17.402126
212,0,2023-01-09 20:00:00,28.4455,33.82467,76.71826,-9.068921
213,0,2023-01-09 21:00:00,26.4343,27.850405,48.96576,6.7350473
214,0,2023-01-09 22:00:00,22.2452,17.977795,38.06543,-2.109838
215,0,2023-01-09 23:00:00,21.7202,13.588081,34.51924,-7.343076
216,0,2023-01-10 00:00:00,18.1544,18.124603,32.849575,3.399632
217,0,2023-01-10 01:00:00,14.1591,17.036827,36.325897,-2.2522416
218,0,2023-01-10 02:00:00,11.3977,16.97876,39.660065,-5.702546
219,0,2023-01-10 03:00:00,10.6609,19.194122,44.232918,-5.844674
220,0,2023-01-10 04:00:00,11.8315,17.329865,39.161343,-4.501613
221,0,2023-01-10 05:00:00,15.4327,17.044125,37.72792,-3.6396713
222,0,2023-01-10 06:00:00,26.1358,20.337502,50.112717,-9.437713
223,0,2023-01-10 07:00:00,26.5208,29.267727,56.995674,1.5397791
224,0,2023-01-10 08:00:00,21.3811,23.849182,42.574417,5.1239476
225,0,2023-01-10 09:00:00,17.547,20.27414,47.25094,-6.7026587
226,0,2023-01-10 10:00:00,16.7697,20.121307,42.282417,-2.0398006
227,0,2023-01-10 11:00:00,16.6787,13.879482,41.288837,-13.529875
228,0,2023-01-10 12:00:00,16.2208,10.499172,45.191807,-24.193462
229,0,2023-01-10 13:00:00,14.6118,10.306362,54.924084,-34.31136
230,0,2023-01-10 14:00:00,15.8155,12.001583,74.45373,-50.45056
231,0,2023-01-10 15:00:00,17.079,20.179375,101.25614,-60.897396
232,0,2023-01-10 16:00:00,23.3589,21.6652,113.43982,-70.10942
233,0,2023-01-10 17:00:00,52.8769,36.226692,111.10152,-38.648132
234,0,2023-01-10 18:00:00,31.2106,31.509579,102.45043,-39.43128
235,0,2023-01-10 19:00:00,20.5279,31.21925,113.30655,-50.868053
236,0,2023-01-10 20:00:00,18.3903,29.808033,69.62451,-10.008441
237,0,2023-01-10 21:00:00,16.2347,21.848179,38.451904,5.2444544
238,0,2023-01-10 22:00:00,19.3232,15.317966,37.620956,-6.985024
239,0,2023-01-10 23:00:00,15.8231,12.854965,32.60478,-6.89485
240,0,2023-01-11 00:00:00,9.37933,3.1354828,19.899704,-13.628738
241,0,2023-01-11 01:00:00,7.29946,6.0242195,22.534271,-10.485832
242,0,2023-01-11 02:00:00,6.7972,4.496521,20.622137,-11.629096
243,0,2023-01-11 03:00:00,7.1083,11.392845,29.060312,-6.274623
244,0,2023-01-11 04:00:00,9.70238,11.514183,31.927269,-8.898903
245,0,2023-01-11 05:00:00,13.765,16.399658,39.209915,-6.410599
246,0,2023-01-11 06:00:00,27.9154,30.162643,55.515606,4.80968
247,0,2023-01-11 07:00:00,27.7898,25.754242,53.645023,-2.1365383
248,0,2023-01-11 08:00:00,20.7408,16.090588,38.09018,-5.909005
249,0,2023-01-11 09:00:00,17.4788,11.18441,29.895664,-7.5268445
250,0,2023-01-11 10:00:00,17.9735,14.255432,34.185112,-5.674247
251,0,2023-01-11 11:00:00,18.3912,11.514519,33.853863,-10.824825
252,0,2023-01-11 12:00:00,18.2205,7.861473,32.35563,-16.632683
253,0,2023-01-11 13:00:00,17.397,3.357193,54.724037,-48.00965
254,0,2023-01-11 14:00:00,18.4013,2.7531624,54.28143,-48.775105
255,0,2023-01-11 15:00:00,18.4631,3.7184715,113.82086,-106.38391
256,0,2023-01-11 16:00:00,22.8092,7.5329933,131.2622,-116.19623
257,0,2023-01-11 17:00:00,44.2968,15.728546,151.99908,-120.54199
258,0,2023-01-11 18:00:00,34.2476,17.447353,111.10451,-76.20981
259,0,2023-01-11 19:00:00,23.9519,14.896435,141.89165,-112.09877
260,0,2023-01-11 20:00:00,19.1828,9.1506195,100.85691,-82.55567
261,0,2023-01-11 21:00:00,18.3174,5.8711967,45.102806,-33.360413
262,0,2023-01-11 22:00:00,17.3379,3.755806,35.122612,-27.611
263,0,2023-01-11 23:00:00,13.3188,3.9342155,29.39945,-21.53102
264,0,2023-01-12 00:00:00,8.01053,7.654545,24.327442,-9.0183525
265,0,2023-01-12 01:00:00,6.39415,9.794163,29.477066,-9.888741
266,0,2023-01-12 02:00:00,5.7199,7.5760345,23.225742,-8.073674
267,0,2023-01-12 03:00:00,6.19261,10.433853,25.672832,-4.8051257
268,0,2023-01-12 04:00:00,9.16218,14.031189,29.252459,-1.1900804
269,0,2023-01-12 05:00:00,15.3932,16.044552,31.916843,0.1722602
270,0,2023-01-12 06:00:00,28.5939,19.595154,52.360226,-13.169917
271,0,2023-01-12 07:00:00,25.2316,18.055367,57.193245,-21.082512
272,0,2023-01-12 08:00:00,19.1178,10.384552,27.942001,-7.172897
273,0,2023-01-12 09:00:00,16.5111,5.2149734,21.175783,-10.745836
274,0,2023-01-12 10:00:00,16.2857,3.992096,22.654123,-14.669931
275,0,2023-01-12 11:00:00,17.9026,7.0830574,30.650244,-16.484129
276,0,2023-01-12 12:00:00,20.1371,11.697407,39.984726,-16.589912
277,0,2023-01-12 13:00:00,21.0245,11.89505,53.00763,-29.217531
278,0,2023-01-12 14:00:00,23.3702,12.5247,111.609344,-86.55994
279,0,2023-01-12 15:00:00,22.9161,15.9706,185.14749,-153.2063
280,0,2023-01-12 16:00:00,23.1999,17.566277,203.74149,-168.60892
281,0,2023-01-12 17:00:00,43.8861,25.948868,132.54138,-80.64364
282,0,2023-01-12 18:00:00,48.8622,32.90718,111.68644,-45.87208
283,0,2023-01-12 19:00:00,40.868,30.5738,128.73468,-67.58708
284,0,2023-01-12 20:00:00,36.613,30.50576,104.03534,-43.023823
285,0,2023-01-12 21:00:00,36.6131,27.452816,67.2865,-12.380865
286,0,2023-01-12 22:00:00,35.0768,22.25195,48.01569,-3.5117924
287,0,2023-01-12 23:00:00,29.9763,18.284302,46.84706,-10.2784605
288,0,2023-01-13 00:00:00,26.8413,25.613293,41.36142,9.865166
289,0,2023-01-13 01:00:00,25.9416,29.526245,48.976765,10.075725
290,0,2023-01-13 02:00:00,26.8321,30.642185,50.71518,10.569194
291,0,2023-01-13 03:00:00,26.3758,32.004734,55.578617,8.430849
292,0,2023-01-13 04:00:00,27.1035,31.672337,59.42504,3.9196305
293,0,2023-01-13 05:00:00,38.2803,34.08422,58.065895,10.102548
294,0,2023-01-13 06:00:00,64.7124,46.422493,95.17016,-2.3251696
295,0,2023-01-13 07:00:00,75.3491,55.39675,103.6265,7.166997
296,0,2023-01-13 08:00:00,40.7342,46.85772,72.18883,21.526613
297,0,2023-01-13 09:00:00,31.0323,28.36932,49.787632,6.9510098
298,0,2023-01-13 10:00:00,28.293,19.671524,42.193165,-2.8501186
299,0,2023-01-13 11:00:00,25.701,16.167583,42.79264,-10.457473
300,0,2023-01-13 12:00:00,25.0013,18.509438,56.71742,-19.698544
301,0,2023-01-13 13:00:00,23.7182,21.483414,62.408768,-19.441938
302,0,2023-01-13 14:00:00,22.5781,18.413155,76.11376,-39.28745
303,0,2023-01-13 15:00:00,22.0599,21.195808,138.97752,-96.58592
304,0,2023-01-13 16:00:00,25.2877,21.592236,135.4001,-92.21563
305,0,2023-01-13 17:00:00,45.3301,37.821495,140.3136,-64.670616
306,0,2023-01-13 18:00:00,34.4375,33.273743,99.01345,-32.46597
307,0,2023-01-13 19:00:00,26.8507,28.491001,124.0406,-67.0586
308,0,2023-01-13 20:00:00,26.6996,18.922161,100.557625,-62.7133
309,0,2023-01-13 21:00:00,24.1112,17.342705,53.21311,-18.527704
310,0,2023-01-13 22:00:00,23.8523,14.111305,45.57608,-17.35347
311,0,2023-01-13 23:00:00,24.834,6.2849426,33.200657,-20.63077
312,0,2023-01-14 00:00:00,19.9207,15.769814,36.46768,-4.9280543
313,0,2023-01-14 01:00:00,19.6944,16.376839,33.97002,-1.2163414
314,0,2023-01-14 02:00:00,19.9545,15.07032,36.866173,-6.725532
315,0,2023-01-14 03:00:00,20.0055,20.158699,47.270203,-6.952803
316,0,2023-01-14 04:00:00,20.8539,26.203514,58.82025,-6.413222
317,0,2023-01-14 05:00:00,23.2849,35.263092,65.84979,4.67639
318,0,2023-01-14 06:00:00,27.1071,42.58726,71.41512,13.759395
319,0,2023-01-14 07:00:00,27.2612,57.257202,87.11133,27.403074
320,0,2023-01-14 08:00:00,25.5932,39.124786,67.08945,11.1601305
321,0,2023-01-14 09:00:00,18.4053,27.284092,60.420372,-5.8521867
322,0,2023-01-14 10:00:00,16.1697,21.159843,44.28341,-1.9637226
323,0,2023-01-14 11:00:00,15.3581,14.240486,38.998394,-10.517424
324,0,2023-01-14 12:00:00,12.1406,15.833454,42.515656,-10.848745
325,0,2023-01-14 13:00:00,9.84754,10.888863,56.056427,-34.2787
326,0,2023-01-14 14:00:00,8.45265,14.834518,63.48724,-33.818203
327,0,2023-01-14 15:00:00,8.41258,16.53099,79.90804,-46.846066
328,0,2023-01-14 16:00:00,9.98448,14.844467,76.65987,-46.970932
329,0,2023-01-14 17:00:00,17.6019,18.18118,87.31243,-50.950073
330,0,2023-01-14 18:00:00,17.6966,17.145096,84.44489,-50.1547
331,0,2023-01-14 19:00:00,15.3819,15.99651,90.63775,-58.644726
