unique_id,time,DAP,TimeGPT,TimeGPT-hi-90,TimeGPT-lo-90
0,2023-01-07 02:00:00,20.5629,7.790044,347.9157,-332.33563
0,2023-01-07 03:00:00,19.7803,18.003351,353.17252,-317.16583
0,2023-01-07 04:00:00,18.888,27.947582,479.0578,-423.16266
0,2023-01-07 05:00:00,18.8071,48.11956,768.3481,-672.10895
0,2023-01-07 06:00:00,21.9466,66.50088,1727.8134,-1594.8115
0,2023-01-07 07:00:00,25.5564,71.34703,1852.4629,-1709.769
0,2023-01-07 08:00:00,21.9541,57.60039,1405.747,-1290.5463
0,2023-01-07 09:00:00,20.3609,42.89852,326.0277,-240.23067
0,2023-01-07 10:00:00,22.3374,35.30408,109.631165,-39.023003
0,2023-01-07 11:00:00,23.8756,23.036306,45.37822,0.69439363
0,2023-01-07 12:00:00,24.5007,12.078489,24.005388,0.15159082
0,2023-01-07 13:00:00,24.9939,10.907431,18.43202,3.3828409
0,2023-01-07 14:00:00,23.2402,17.91025,26.477802,9.342697
0,2023-01-07 15:00:00,24.9918,25.70067,44.49138,6.909959
0,2023-01-07 16:00:00,25.5337,32.26197,52.179375,12.344564
0,2023-01-07 17:00:00,53.8997,40.785244,60.10321,21.467278
0,2023-01-07 18:00:00,40.1446,42.435497,253.3967,-168.5257
0,2023-01-07 19:00:00,31.1782,46.75643,479.42368,-385.91086
0,2023-01-07 20:00:00,28.7989,45.409473,568.36993,-477.55096
0,2023-01-07 21:00:00,27.6905,42.00368,508.94528,-424.93796
0,2023-01-07 22:00:00,25.9276,39.90943,350.8832,-271.06436
0,2023-01-07 23:00:00,24.9299,35.24309,151.21918,-80.73301
0,2023-01-08 00:00:00,27.1811,14.512056,111.867874,-82.84376
0,2023-01-08 01:00:00,24.4058,19.952835,122.69375,-82.78808
0,2023-01-08 02:00:00,23.1302,21.513372,134.78247,-91.75572
0,2023-01-08 03:00:00,23.5387,24.388304,143.45374,-94.677124
0,2023-01-08 04:00:00,23.8985,25.484161,163.49417,-112.52585
0,2023-01-08 05:00:00,25.6358,33.316994,216.10196,-149.46797
0,2023-01-08 06:00:00,26.8478,37.58822,276.0575,-200.88104
0,2023-01-08 07:00:00,30.8873,39.2775,255.7442,-177.18921
0,2023-01-08 08:00:00,27.5757,39.234634,208.08295,-129.61368
0,2023-01-08 09:00:00,23.7088,40.71162,129.87276,-48.44952
0,2023-01-08 10:00:00,21.9528,36.54147,89.25105,-16.168114
0,2023-01-08 11:00:00,21.6128,36.340076,66.77799,5.90216
0,2023-01-08 12:00:00,20.7007,33.926514,64.3873,3.465726
0,2023-01-08 13:00:00,20.2011,30.629768,61.29661,-0.03707409
0,2023-01-08 14:00:00,19.7668,35.441174,77.83928,-6.9569316
0,2023-01-08 15:00:00,19.0857,42.104305,108.86935,-24.660734
0,2023-01-08 16:00:00,20.3543,43.035164,125.0621,-38.99177
0,2023-01-08 17:00:00,65.0876,47.557716,151.18535,-56.069916
0,2023-01-08 18:00:00,36.8115,46.408092,172.23125,-79.41506
0,2023-01-08 19:00:00,26.0436,41.90276,186.20352,-102.398
0,2023-01-08 20:00:00,21.5688,35.0972,152.8647,-82.6703
0,2023-01-08 21:00:00,21.4857,28.711193,119.448746,-62.026356
0,2023-01-08 22:00:00,21.0339,23.894747,93.12049,-45.330997
0,2023-01-08 23:00:00,20.5162,22.856873,82.30682,-36.59308
0,2023-01-09 00:00:00,15.1489,13.800861,19.644217,7.957506
0,2023-01-09 01:00:00,14.0559,15.57881,26.919603,4.238015
0,2023-01-09 02:00:00,15.6241,17.61267,32.41107,2.8142698
